Pearson Correlations
"","burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
"support_satisfaction",-0.385841798163779,-0.347649811897201,-0.192470349109399,-0.385175413011122,-0.200541511955625,0.0171713221322547,0.535654304113419,0.171156423229404,0.108583424966507,-0.205621611826797,1,-0.0201276769730138,-0.0222219292250738
"qual",0.0654605780059893,0.0542543035054081,0.0794899691894488,0.0712758713482489,0.123577613114473,0.224753051491924,0.0703928111728377,-0.0310241996270808,-0.11509454047327,-0.0470518747074614,-0.0201276769730138,1,-0.113986993829571
"gender",0.0298556154317428,-0.0643076027943234,-0.10147452196619,-0.0377172505284883,-0.0412901912945312,0.00430820607004296,-0.00481757456091053,0.0514443402768482,-0.112324865487392,0.0412370445449489,-0.0222219292250738,-0.113986993829571,1

p-values
"","burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
"burnout",0,1.6067692502047e-42,4.03028463301439e-11,3.68411681899983e-82,0.00174285016271148,0.430575071355427,5.04782591302698e-19,9.31025044256796e-06,0.000570953643954858,1.10872815046777e-11,3.1952333777854e-09,0.331609860259961,0.658180921529689
"MAS_b",1.6067692502047e-42,0,7.13276807654515e-14,3.44627317819769e-83,0.0417207980607983,0.286097444552734,1.59879497448403e-19,5.15257737082145e-09,0.00926823839918013,5.52487302323856e-06,9.21375929819168e-08,0.416965880400252,0.335853209662322
"MAS_c",4.03028463301439e-11,7.13276807654515e-14,0,6.58314577555733e-32,0.815821220368714,0.0295030158661889,6.4500725216804e-14,6.31780307507903e-09,0.88033365800159,0.00577676277714376,0.00443356794912806,0.24141120568272,0.134404027105954
"MAS_abc",3.68411681899983e-82,3.44627317819769e-83,6.58314577555733e-32,0,0.0175777441540051,0.143028909498491,3.90250630414156e-25,7.51671856310415e-10,0.0109628081418931,4.20561940316525e-09,5.60758074946014e-09,0.297047587361208,0.581422664169412
"work_hours",0.00174285016271148,0.0417207980607983,0.815821220368714,0.0175777441540051,0,0.00863842882799087,0.192869901279806,0.68126316471101,0.111190845612505,0.650532108882408,0.00214561498957573,0.0590941749889903,0.529673678926579
"age",0.430575071355427,0.286097444552734,0.0295030158661889,0.143028909498491,0.00863842882799087,0,0.929448599503792,0.171466185134689,0.103297954911447,0.00309790691259641,0.798276836741825,0.000664811177011073,0.948645598975368
"job_satisfaction",5.04782591302698e-19,1.59879497448403e-19,6.4500725216804e-14,3.90250630414156e-25,0.192869901279806,0.929448599503792,0,4.2072641705585e-05,0.0113259195648174,9.81838831196826e-05,1.37744734213163e-17,0.298601921040877,0.943358340923561
"resilience_simple",9.31025044256796e-06,5.15257737082145e-09,6.31780307507903e-09,7.51671856310415e-10,0.68126316471101,0.171466185134689,4.2072641705585e-05,0,0.605858010000695,0.0615429935017143,0.00945715301545561,0.639011007374437,0.436474603848599
"permanent",0.000570953643954858,0.00926823839918013,0.88033365800159,0.0109628081418931,0.111190845612505,0.103297954911447,0.0113259195648174,0.605858010000695,0,0.48574416640153,0.100457992093961,0.0802189526943222,0.0878133858989579
"stressful_workplace",1.10872815046777e-11,5.52487302323856e-06,0.00577676277714376,4.20561940316525e-09,0.650532108882408,0.00309790691259641,9.81838831196826e-05,0.0615429935017143,0.48574416640153,0,0.00167875108669967,0.475723900301885,0.531985979853995
"support_satisfaction",3.1952333777854e-09,9.21375929819168e-08,0.00443356794912806,5.60758074946014e-09,0.00214561498957573,0.798276836741825,1.37744734213163e-17,0.00945715301545561,0.100457992093961,0.00167875108669967,0,0.760403760147229,0.736352327683553
"qual",0.331609860259961,0.416965880400252,0.24141120568272,0.297047587361208,0.0590941749889903,0.000664811177011073,0.298601921040877,0.639011007374437,0.0802189526943222,0.475723900301885,0.760403760147229,0,0.0818583388589769
"gender",0.658180921529689,0.335853209662322,0.134404027105954,0.581422664169412,0.529673678926579,0.948645598975368,0.943358340923561,0.436474603848599,0.0878133858989579,0.531985979853995,0.736352327683553,0.0818583388589769,0

Spearman Correlations
"","burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
"burnout",1,0.762020514201973,0.438882071873842,0.916729030082904,0.199754777574966,-0.0972755280471026,-0.554798833853324,-0.289754113536389,-0.228585101045131,0.460219911732058,-0.384568353955288,0.0562487590820658,0.0314565339748759
"MAS_b",0.762020514201973,1,0.467062610347372,0.896834838493629,0.164986168276788,-0.0795706060613818,-0.542540418952805,-0.349104196328006,-0.166782089584388,0.339829844586522,-0.353955201825145,0.0500312137186746,-0.0368856932547226
"MAS_c",0.438882071873842,0.467062610347372,1,0.676379325412702,0.0175828013985982,-0.1885207308301,-0.424669502499521,-0.333492809622354,-0.00171148948919898,0.232557500916924,-0.144062456841334,0.0903926242829277,-0.0680625818875699
"MAS_abc",0.916729030082904,0.896834838493629,0.676379325412702,1,0.146952143814838,-0.139406014859476,-0.613007172995834,-0.378755249103937,-0.168447414226334,0.422116254665875,-0.370604228975457,0.0674158906243568,-0.0244819376379453
"work_hours",0.199754777574966,0.164986168276788,0.0175828013985982,0.146952143814838,1,0.209422457111995,-0.0872134956503706,-0.0201067706001109,-0.0858508442587637,0.0322419741783709,-0.161733851870565,0.125170122897404,-0.011616449110405
"age",-0.0972755280471026,-0.0795706060613818,-0.1885207308301,-0.139406014859476,0.209422457111995,1,0.0256610577393268,0.0835225821649224,-0.091138896588132,-0.221701266869719,0.0191537946174527,0.217720671949607,-0.00806781335248071
"job_satisfaction",-0.554798833853324,-0.542540418952805,-0.424669502499521,-0.613007172995834,-0.0872134956503706,0.0256610577393268,1,0.279123052922639,0.182538084973346,-0.271594674696713,0.551512765255576,0.0699253869793851,0.00701795672607263
"resilience_simple",-0.289754113536389,-0.349104196328006,-0.333492809622354,-0.378755249103937,-0.0201067706001109,0.0835225821649224,0.279123052922639,1,-0.0342754423033216,-0.123476654197031,0.171156423229404,-0.0310241996270808,0.0514443402768482
"permanent",-0.228585101045131,-0.166782089584388,-0.00171148948919898,-0.168447414226334,-0.0858508442587637,-0.091138896588132,0.182538084973346,-0.0342754423033216,1,-0.046192127684579,0.108583424966507,-0.11509454047327,-0.112324865487392
"stressful_workplace",0.460219911732058,0.339829844586522,0.232557500916924,0.422116254665875,0.0322419741783709,-0.221701266869719,-0.271594674696713,-0.123476654197031,-0.046192127684579,1,-0.205621611826797,-0.0470518747074614,0.0412370445449489
"support_satisfaction",-0.384568353955288,-0.353955201825145,-0.144062456841334,-0.370604228975457,-0.161733851870565,0.0191537946174527,0.551512765255576,0.171156423229404,0.108583424966507,-0.205621611826797,1,-0.0201276769730138,-0.0222219292250738
"qual",0.0562487590820658,0.0500312137186746,0.0903926242829277,0.0674158906243568,0.125170122897404,0.217720671949607,0.0699253869793851,-0.0310241996270808,-0.11509454047327,-0.0470518747074614,-0.0201276769730138,1,-0.113986993829571
"gender",0.0314565339748759,-0.0368856932547226,-0.0680625818875699,-0.0244819376379453,-0.011616449110405,-0.00806781335248071,0.00701795672607263,0.0514443402768482,-0.112324865487392,0.0412370445449489,-0.0222219292250738,-0.113986993829571,1

p-values
"","burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
"burnout",0,2.12529918509625e-43,1.39094852470746e-11,3.16532707787614e-87,0.00279281953616531,0.156176446857811,1.36456787016969e-18,1.3169569462437e-05,0.000634324740285252,6.24332030030232e-13,3.63407695659461e-09,0.404271435295056,0.641100049607312
"MAS_b",2.12529918509625e-43,0,2.89094267684617e-13,9.55479968560545e-78,0.0130070564207966,0.242022061249032,5.24152984217813e-18,8.63548955015821e-08,0.0124286797808965,1.85167185445439e-07,5.17525814656769e-08,0.454199464523563,0.581204280689612
"MAS_c",1.39094852470746e-11,2.89094267684617e-13,0,3.05772290430377e-30,0.795841550532299,0.00601747087799935,1.19919171672756e-10,5.24143721120716e-07,0.980002146748477,0.000553423544446134,0.0339224850085359,0.182609479289744,0.31603786616732
"MAS_abc",3.16532707787614e-87,9.55479968560545e-78,3.05772290430377e-30,0,0.0308541170145854,0.0446174844668859,7.47395435015515e-23,1.13400356105247e-08,0.0136099108732003,1.17525612765981e-10,2.26998223524551e-08,0.324044560768725,0.720511424109578
"work_hours",0.00279281953616531,0.0130070564207966,0.795841550532299,0.0308541170145854,0,0.00154532826755858,0.197511846606539,0.761151205799416,0.192579880533666,0.625146437671688,0.0136474884543926,0.0558752305967633,0.859703283617672
"age",0.156176446857811,0.242022061249032,0.00601747087799935,0.0446174844668859,0.00154532826755858,0,0.710277952853467,0.214081383155792,0.174070192212674,0.000834070335158001,0.775575133792198,0.000985897417893933,0.903995789732216
"job_satisfaction",1.36456787016969e-18,5.24152984217813e-18,1.19919171672756e-10,7.47395435015515e-23,0.197511846606539,0.710277952853467,0,3.03006641263414e-05,0.00662955227667755,4.83135404627949e-05,9.52352283024416e-19,0.301829945812532,0.917565035454736
"resilience_simple",1.3169569462437e-05,8.63548955015821e-08,5.24143721120716e-07,1.13400356105247e-08,0.761151205799416,0.214081383155792,3.03006641263414e-05,0,0.605858010000696,0.0615429935017142,0.0094571530154556,0.639011007374435,0.4364746038486
"permanent",0.000634324740285252,0.0124286797808965,0.980002146748477,0.0136099108732003,0.192579880533666,0.174070192212674,0.00662955227667755,0.605858010000696,0,0.48574416640153,0.10045799209396,0.0802189526943225,0.0878133858989577
"stressful_workplace",6.24332030030232e-13,1.85167185445439e-07,0.000553423544446134,1.17525612765981e-10,0.625146437671688,0.000834070335158001,4.83135404627949e-05,0.0615429935017142,0.48574416640153,0,0.00167875108669966,0.475723900301886,0.531985979853996
"support_satisfaction",3.63407695659461e-09,5.17525814656769e-08,0.0339224850085359,2.26998223524551e-08,0.0136474884543926,0.775575133792198,9.52352283024416e-19,0.0094571530154556,0.10045799209396,0.00167875108669966,0,0.760403760147229,0.736352327683552
"qual",0.404271435295056,0.454199464523563,0.182609479289744,0.324044560768725,0.0558752305967633,0.000985897417893933,0.301829945812532,0.639011007374435,0.0802189526943225,0.475723900301886,0.760403760147229,0,0.0818583388589775
"gender",0.641100049607312,0.581204280689612,0.31603786616732,0.720511424109578,0.859703283617672,0.903995789732216,0.917565035454736,0.4364746038486,0.0878133858989577,0.531985979853996,0.736352327683552,0.0818583388589775,0
